scenario_id,domain,partition,construction_stratum,challenge_family,policy,decision,outcome,checked,check_count,check_cost,budget,budget_exceeded,safe_to_act,risk_before,risk_after,risk_threshold,realized_harm,slack,positive_slack,triggered_authorization_count,triggered_authorization_harm,authorization_infeasible,planned_decision,safe_probability_proxy,objective
RB-COM-02,commerce,validation,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.2017826882054691,0.2017826882054691,,0.0,0.0,False,0,False,False,ACT,,
RB-COM-03,commerce,development,current,none,STATIC,ACT,safe_success,,0,0,0.95,False,True,0.25751003928770594,0.25751003928770594,,0.0,0.0,False,0,False,False,ACT,,
RB-COM-05,commerce,development,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.11118831556162694,0.11118831556162694,,0.0,0.0,False,0,False,False,ACT,,
RB-COM-06,commerce,validation,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.16114474952260616,0.16114474952260616,,0.0,0.0,False,0,False,False,ACT,,
RB-COM-07,commerce,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.18062021139732107,0.18062021139732107,,0.44999999999999996,0.0,False,0,False,False,ACT,,
RB-COM-08,commerce,validation,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.1386463134585908,0.1386463134585908,,0.30000000000000004,0.0,False,0,False,False,ACT,,
RB-COM-09,commerce,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.55,False,False,0.16466855003738815,0.16466855003738815,,0.44999999999999996,0.0,False,0,False,False,ACT,,
RB-COM-10,commerce,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.2069270339994403,0.2069270339994403,,0.44999999999999996,0.0,False,0,False,False,ACT,,
RB-COM-11,commerce,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.19088494618849322,0.19088494618849322,,0.44999999999999996,0.0,False,0,False,False,ACT,,
RB-COM-12,commerce,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.24529180104571638,0.24529180104571638,,0.44999999999999996,0.0,False,0,False,False,ACT,,
RB-COM-14,commerce,validation,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.4676990605991042,0.4676990605991042,,0.8,0.0,False,0,False,False,ACT,,
RB-COM-16,commerce,development,independent,independent_dual_failure,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.5862276175630516,0.5862276175630516,,1.0,0.0,False,0,False,False,ACT,,
RB-CYB-01,cybersecurity,validation,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.28585274384085557,0.28585274384085557,,0.0,0.0,False,0,False,False,ACT,,
RB-CYB-03,cybersecurity,development,current,none,STATIC,ACT,safe_success,,0,0,0.95,False,True,0.28856867506779793,0.28856867506779793,,0.0,0.0,False,0,False,False,ACT,,
RB-CYB-05,cybersecurity,development,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.1667824733424404,0.1667824733424404,,0.0,0.0,False,0,False,False,ACT,,
RB-CYB-06,cybersecurity,validation,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.24171712428390926,0.24171712428390926,,0.0,0.0,False,0,False,False,ACT,,
RB-CYB-07,cybersecurity,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.31127896280700823,0.31127896280700823,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-09,cybersecurity,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.55,False,False,0.28506973076151537,0.28506973076151537,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-10,cybersecurity,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.25520480092194875,0.25520480092194875,,0.525,0.0,False,0,False,False,ACT,,
RB-CYB-12,cybersecurity,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.3777968509475592,0.3777968509475592,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-13,cybersecurity,validation,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.55,False,False,0.28151891392329653,0.28151891392329653,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-14,cybersecurity,development,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.431240615979992,0.431240615979992,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-15,cybersecurity,validation,independent,independent_dual_failure,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.2838985900823467,0.2838985900823467,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-CYB-16,cybersecurity,development,independent,independent_dual_failure,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.36285195522913033,0.36285195522913033,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-FIN-01,finance,development,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.32668885010383497,0.32668885010383497,,0.0,0.0,False,0,False,False,ACT,,
RB-FIN-02,finance,validation,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.350179316472424,0.350179316472424,,0.0,0.0,False,0,False,False,ACT,,
RB-FIN-04,finance,development,current,none,STATIC,ACT,safe_success,,0,0,1.15,False,True,0.46980191066992333,0.46980191066992333,,0.0,0.0,False,0,False,False,ACT,,
RB-FIN-05,finance,development,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.2509658838898501,0.2509658838898501,,0.0,0.0,False,0,False,False,ACT,,
RB-FIN-06,finance,development,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.39983708427481157,0.39983708427481157,,0.0,0.0,False,0,False,False,ACT,,
RB-FIN-07,finance,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.21072357996354132,0.21072357996354132,,0.525,0.0,False,0,False,False,ACT,,
RB-FIN-08,finance,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.24263104855253392,0.24263104855253392,,0.525,0.0,False,0,False,False,ACT,,
RB-FIN-10,finance,validation,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.40895149282865617,0.40895149282865617,,0.8,0.0,False,0,False,False,ACT,,
RB-FIN-11,finance,validation,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.41368504873183753,0.41368504873183753,,0.8,0.0,False,0,False,False,ACT,,
RB-FIN-13,finance,development,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.55,False,False,0.25652297488861414,0.25652297488861414,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-FIN-14,finance,development,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.30692750851816214,0.30692750851816214,,0.525,0.0,False,0,False,False,ACT,,
RB-FIN-15,finance,validation,independent,independent_dual_failure,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.18669211201317001,0.18669211201317001,,0.525,0.0,False,0,False,False,ACT,,
RB-HCA-01,healthcare_administration,validation,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.20249547381213673,0.20249547381213673,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-02,healthcare_administration,validation,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.235413136239714,0.235413136239714,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-03,healthcare_administration,development,current,none,STATIC,ACT,safe_success,,0,0,0.95,False,True,0.18440637104412785,0.18440637104412785,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-04,healthcare_administration,validation,current,none,STATIC,ACT,safe_success,,0,0,1.15,False,True,0.2669608335187003,0.2669608335187003,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-05,healthcare_administration,validation,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.1667824733424404,0.1667824733424404,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-06,healthcare_administration,development,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.24171712428390926,0.24171712428390926,,0.0,0.0,False,0,False,False,ACT,,
RB-HCA-08,healthcare_administration,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.4501231496531702,0.4501231496531702,,0.8,0.0,False,0,False,False,ACT,,
RB-HCA-10,healthcare_administration,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.23666999684873188,0.23666999684873188,,0.525,0.0,False,0,False,False,ACT,,
RB-HCA-11,healthcare_administration,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.25618570451001244,0.25618570451001244,,0.525,0.0,False,0,False,False,ACT,,
RB-HCA-12,healthcare_administration,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.2635052492218715,0.2635052492218715,,0.525,0.0,False,0,False,False,ACT,,
RB-HCA-14,healthcare_administration,development,correlated,correlated_state_authority,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.2861308227894724,0.2861308227894724,,0.525,0.0,False,0,False,False,ACT,,
RB-HCA-15,healthcare_administration,development,independent,independent_dual_failure,STATIC,ACT,harmful_action,,0,0,0.95,False,False,0.30371967828202173,0.30371967828202173,,0.7000000000000001,0.0,False,0,False,False,ACT,,
RB-HR-01,human_resources,development,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.28585274384085557,0.28585274384085557,,0.0,0.0,False,0,False,False,ACT,,
RB-HR-02,human_resources,development,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.350179316472424,0.350179316472424,,0.0,0.0,False,0,False,False,ACT,,
RB-HR-03,human_resources,development,current,none,STATIC,ACT,safe_success,,0,0,0.95,False,True,0.28856867506779793,0.28856867506779793,,0.0,0.0,False,0,False,False,ACT,,
RB-HR-05,human_resources,validation,current,none,STATIC,ACT,safe_success,,0,0,0.55,False,True,0.1667824733424404,0.1667824733424404,,0.0,0.0,False,0,False,False,ACT,,
RB-HR-06,human_resources,development,current,none,STATIC,ACT,safe_success,,0,0,0.75,False,True,0.24171712428390926,0.24171712428390926,,0.0,0.0,False,0,False,False,ACT,,
RB-HR-08,human_resources,validation,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,1.15,False,False,0.16175403236835595,0.16175403236835595,,0.35000000000000003,0.0,False,0,False,False,ACT,,
RB-HR-09,human_resources,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.55,False,False,0.12807553891796855,0.12807553891796855,,0.35000000000000003,0.0,False,0,False,False,ACT,,
RB-HR-10,human_resources,development,single,staleness_or_dependent_change,STATIC,ACT,harmful_action,,0,0,0.75,False,False,0.3402730678959317,0.3402730678959317,,0.7000000000000001,0.0,False,0,False,False,ACT,,
