source,source_id,doi,title,abstract,published,authors,venue,record_type,cited_by_count,url
OpenAlex,https://openalex.org/W4405602165,10.1109/icecos63900.2024.10791206,Large Language Model Employment for Story Point Estimation Problems in AGILE Development,"Software effort estimation (SEE) in Agile Software Development (ASD) has been a longstanding challenge for software engineers. The traditional approach estimates effort scores known as Story Point (SP) to measure user stories. The approach was an expert judgment method in which experts propose certain values of story points based on their experience through various mechanisms such as planning poker, Dot Voting, Bucket System, etc. The process will become challenging if experts have different opinions about the value of certain story points, which may result in a longer duration for completion. Many algorithms have been proposed to optimize the method. The utilization of Artificial Intelligence (AI) and Machine Learning (ML) has greatly simplified processes. Various algorithms are utilized, including Fuzzy, SVM, Naive Bayes, KNN, ANN, RNN, CNN, and LSTM, and utilizing Large Language Models (LLMs) for advancement. This paper employs the hybrid model of Bidirectional Encoder Representations from Transformers (BERT) - Multilayer Perceptron (MLP), which we call alterBERT, to perform regression for estimating Story Points (SP). We will assess the model over the TAWOS dataset and compare it with the previous model, GPT2SP, and other GPT2 architecture. The dataset consists of issues from 39 open-source projects mined from JIRA Software. According to the experimental result, we conclude that the alterBERT models have better performance, outperforming the other models with an average MAE and RMSE, respectively, about 1.72 and 2.51",2024-09-25,Barkhah Permana; Ridi Ferdiana; Azkario Rizky Pratama,,conference-paper,5,https://doi.org/10.1109/icecos63900.2024.10791206
OpenAlex,https://openalex.org/W4389285826,10.1007/978-3-031-48796-5_9,Search-Based Optimisation of LLM Learning Shots for Story Point Estimation,,2023-12-03,Vali Tawosi; Salwa Alamir; Xiaomo Liu,Lecture notes in computer science,conference-paper,8,https://doi.org/10.1007/978-3-031-48796-5_9
OpenAlex,https://openalex.org/W4386425097,10.2118/215491-ms,AI Augmented Engineering Intelligence for Industrial Equipment,"Abstract This paper presents an Artificial Intelligence (AI) based implementation for anomaly detection in critical industrial equipment at TotalEnergies. The approach was initially inspired by the work of Sipple, J. (2020), on AI anomaly detection in smart buildings. This approach has since then been adapted, applied, and extended to also handle multidimensional time series data effectively, whilst keeping model interpretability by design. The AI models have been successfully deployed in various North Sea assets and have been able to detect anomalous behaviour in the industrial rotating equipment, leading to improved visibility, efficiency, and reliability. The paper also discusses the motivations for the business case and change management processes associated with the implementation of the AI models.",2023-09-05,Patrícia Santos; Laura Helen Aldren; Eileen Melvin; Joo‐Hwee Lim; G. Steven McMillan; H. J. Yang; Christopher W. Fraser; James O’Donnell,,conference-paper,3,https://doi.org/10.2118/215491-ms
OpenAlex,https://openalex.org/W7140143044,10.3389/frai.2026.1772418,Toward LLM-aware software effort estimation: a conceptual framework,"Software effort estimation has traditionally been grounded in the assumption that development cost is primarily driven by human labor, approximated through proxies such as code size, functional complexity, or perceived task difficulty. The increasing adoption of large language models (LLMs) as software development assistants challenges this assumption by automating substantial portions of reasoning, coding, and refactoring. In LLM-assisted workflows, effort increasingly shifts toward interaction management, validation, correction, and integration, leading to growing misalignment between established estimation techniques—such as COCOMO, Function Points, and Story Points—and actual development cost. This paper argues that the limitations of existing estimation models in LLM-mediated development are structural rather than parametric. When core development activities are delegated to automated reasoning systems. Through conceptual analysis supported by exploratory observations, we illustrate systematic mismatches between traditional effort estimates and LLM-assisted task execution, particularly in agile environments that rely on Story Points. To address this gap, we introduce a unified conceptual foundation for LLM-aware software effort estimation. We reconceptualize effort as Hybrid Intelligence Effort , emerging from the interaction between LLM cognitive complexity and human oversight effort. We further identify five core dimensions governing effort in LLM-assisted development: LLM reasoning complexity, context and information completeness, code transformation impact, iterative reasoning cycles, and human oversight effort. These dimensions capture cost drivers that are largely absent from conventional estimation theory. Rather than proposing a parametric estimation model, this work establishes a theoretical foundation for future empirical calibration and data-driven approaches. By redefining what constitutes effort in the presence of LLMs, the paper contributes a conceptual basis for estimation models aligned with contemporary AI-augmented software engineering practices.",2026-03-23,Feisal Alaswad; Eswaran Poovammal; Batoul Aljaddouh,Frontiers in Artificial Intelligence,article,1,https://doi.org/10.3389/frai.2026.1772418
OpenAlex,https://openalex.org/W7133949372,10.1109/access.2026.3671204,From COCOMO to GPT: A Comprehensive Evaluation of LLM-Based Software Effort Estimation,"Accurate software effort estimation remains a critical yet challenging task in software engineering. While recent advances in Large Language Models (LLMs) have demonstrated impressive capabilities across a wide range of software engineering activities, their effectiveness for effort estimation has not been systematically evaluated. This paper presents a comprehensive empirical benchmark comparing zero-shot LLM-based estimation with classical Machine Learning (ML) models and transformer-based regression approaches across two complementary settings: textual story-point estimation and structured project-level effort estimation. We evaluate multiple model families on two large-scale story-point datasets (Agile and NEO) and five widely adopted project-level datasets (Desharnais, COCOMO81, NASA93, Maxwell, and Kitchenham). Predictive accuracy is assessed across all datasets. The story-point benchmark further analyzes cross-project generalization, linguistic robustness, computational cost, and human–AI interaction effects, whereas the project-level benchmark evaluates robustness under noise injection, missing-value stress testing, and feature ablation. Experimental results show that off-the-shelf LLMs operating in zero-shot settings consistently underperform task-specific ML and transformer-based regression models in terms of absolute accuracy and cost efficiency. ClassicalMLmodels remain the most reliable estimators for structured datasets, while fine-tuned transformer regressors achieve the best performance on textual story-point estimation. Despite their lower numerical accuracy, LLMs demonstrate relatively low sensitivity to linguistic variation and may influence human judgment through persuasive explanations, as suggested by the exploratory human–LLM interaction study. These findings suggest that zero-shot LLMs may be suited as qualitative decision-support tools rather than as autonomous effort estimators. Overall, this work highlights the importance of architectural alignment, cost-aware evaluation, and human-centered considerations when deploying AI models for software effort estimation.",2026-01-01,Feisal Alaswad; E. Poovammal; Batoul Aljaddouh,IEEE Access,article,3,https://doi.org/10.1109/access.2026.3671204
OpenAlex,https://openalex.org/W7134274972,10.48550/arxiv.2603.06276,Story Point Estimation Using Large Language Models,"This study investigates the use of large language models (LLMs) for story point estimation. Story points are unitless, project-specific effort estimates that help developers on the scrum team forecast which product backlog items they plan to complete in a sprint. To facilitate this process, machine learning models, especially deep neural networks, have been applied to predict the story points based on the title and description of each item. However, such machine learning models require sufficient amounts of training data (with ground truth story points annotated by human developers) from the same software project to achieve decent prediction performance. This motivated us to explore whether LLMs are capable of (RQ1) predicting story points without training data or (RQ2) with only a few training data points. Our empirical results with four LLMs on 16 software projects show that, without any training data (zero-shot prompting), LLMs can predict story points better than supervised deep learning models trained on 80% of the data. The prediction performance of LLMs can be further improved with a few training examples (few-shot prompting). In addition, a recent study explored the use of comparative judgments (between a given pair of items which one requires more effort to implement) instead of directly annotating the story points to reduce the cognitive burden on developers. Therefore, this study also explores (RQ3) whether comparative judgments are easier to predict than story points for LLMs and (RQ4) whether comparative judgments can serve as few-shot examples for LLMs to improve their predictions of story points. Empirical results suggest that it is not easier for LLMs to predict comparative judgments than to directly estimate the story points, but comparative judgments can serve as few-shot examples to improve the LLMs' prediction performance as well as the human-annotated story points.",2026-03-06,Pranam Prakash Shetty; Adarsh Balakrishnan; Mengqiao Xu; Xiaoyin Xi; Zhe Yu,Open MIND,article,0,
OpenAlex,https://openalex.org/W7134290803,,Story Point Estimation Using Large Language Models,"This study investigates the use of large language models (LLMs) for story point estimation. Story points are unitless, project-specific effort estimates that help developers on the scrum team forecast which product backlog items they plan to complete in a sprint. To facilitate this process, machine learning models, especially deep neural networks, have been applied to predict the story points based on the title and description of each item. However, such machine learning models require sufficient amounts of training data (with ground truth story points annotated by human developers) from the same software project to achieve decent prediction performance. This motivated us to explore whether LLMs are capable of (RQ1) predicting story points without training data or (RQ2) with only a few training data points. Our empirical results with four LLMs on 16 software projects show that, without any training data (zero-shot prompting), LLMs can predict story points better than supervised deep learning models trained on 80% of the data. The prediction performance of LLMs can be further improved with a few training examples (few-shot prompting). In addition, a recent study explored the use of comparative judgments (between a given pair of items which one requires more effort to implement) instead of directly annotating the story points to reduce the cognitive burden on developers. Therefore, this study also explores (RQ3) whether comparative judgments are easier to predict than story points for LLMs and (RQ4) whether comparative judgments can serve as few-shot examples for LLMs to improve their predictions of story points. Empirical results suggest that it is not easier for LLMs to predict comparative judgments than to directly estimate the story points, but comparative judgments can serve as few-shot examples to improve the LLMs' prediction performance as well as the human-annotated story points.",2026-03-06,Pranam Prakash Shetty; Adarsh Balakrishnan; Mengqiao Xu; Xiaoyin Xi; Zhe Yu,arXiv (Cornell University),preprint,0,http://arxiv.org/abs/2603.06276
OpenAlex,https://openalex.org/W7169555437,10.1109/aicconf69182.2026.11600668,Comparative Evaluation of Large Language Models on Agile Story Point Estimation,,2026-04-24,Özgen Erbakan,,conference-paper,0,https://doi.org/10.1109/aicconf69182.2026.11600668
OpenAlex,https://openalex.org/W4416028656,10.1016/j.nlp.2025.100189,Llama3SP: A resource-Efficient large language model for agile story point estimation,"• Fine-tuned LLaMA 3.2 model using QLoRA for Agile story point estimation • Matches GPT2SP accuracy on a 6GB GPU with reduced resource requirements • Maintains high estimation accuracy while lowering training cost • Outperforms prior models in several within- and cross-project evaluations • First application of QLoRA in low-resource Agile effort estimation scenarios Effort estimation remains a major challenge in Agile software development. Inaccurate story point forecasts can lead to budget overruns, schedule delays, and diminished stakeholder trust. Widely used approaches, such as story point estimation, are helpful for planning but rely heavily on subjective human judgment, making them prone to inconsistency and bias. Prior efforts applying machine learning and natural language processing (e.g. Deep-SE, GPT2SP) to automate story point prediction have achieved only limited success, often suffering from accuracy issues, poor cross-project adaptability, and high computational costs. To address these challenges, we introduce Llama3SP , which fine-tunes Meta’s LLaMA 3.2 language model using QLoRA, a resource-efficient adaptation technique. This combination enables training of a high-performance model on standard GPUs without sacrificing prediction quality. Experiments show that Llama3SP provides precise and consistent story point estimates, outperforming or matching previous models like GPT2SP and other comparably sized alternatives, all while operating under significantly lower hardware constraints. These findings highlight how combining advanced NLP models with efficient training techniques can make accurate effort estimation more accessible and practical for agile teams.",2025-11-08,Juan Camilo Sepúlveda Montoya; Nicole Tatiana Ríos; José A Jaramillo Villegas,Natural Language Processing Journal,article,0,https://doi.org/10.1016/j.nlp.2025.100189
OpenAlex,https://openalex.org/W7160064906,10.5281/zenodo.20027565,AI-Augmented Engineering Workflows for Computation,"This paper introduces AI-Augmented Engineering Workflows for Computation, an under-graduate course framework designed to prepare engineering students for modern computationalpractice. The course is not positioned as an artificial intelligence theory course or as a conven-tional programming course. Instead, it emphasizes how students formulate engineering problems,coordinate AI-assisted and computational tools, develop simplified models, analyze results, andvalidate outputs before using them for engineering decisions. The central contribution is aworkflow-centered instructional model that treats validation as a core engineering responsibilityin AI-enabled computation. The proposed course structure is intended to support students acrossengineering disciplines by strengthening their ability to connect physical reasoning, computation,tool selection, interpretation, refinement, and communication within a coherent engineeringworkflow.",2026-05-04,Taner Önsay; Sebnem Onsay,Zenodo (CERN European Organization for Nuclear Research),preprint,0,https://doi.org/10.5281/zenodo.20027565
